SITEID_12,UID,LAT_DD,LON_DD,LakeArea,LakeDepth,LakePerim,LakeEleva,HUC2,HUC8,SITEID_07,ECO3,ECO3_2015,ECO4,ECO4_2015,EPA_REG,Cond,DOC,NTL,pH,PTL,Silica,Temp,Sol
NLA12_CA-108,7796,37.14922318,-119.5111573,69.77191048,14,9.869399505,300.34,18,18040006,NLA06608-0693,6,6,6c,6c,Region_9,29,1.49,0.156,6.35,4.8,7.48,18.61785714,7.24620915
NLA12_CA-111,7341,39.013583,-121.0410833,146.5493939,5.1,14.4411696,488.8,18,18020126,,6,6,6b,6b,Region_9,51,1.8,0.0643,7.05,7.2,8.97,23.21,7.182418301
NLA12_CA-111,7937,39.013583,-121.0410833,146.5493939,5.4,14.4411696,488.8,18,18020126,,6,6,6b,6b,Region_9,49,1.48,0.0839,7.6,4.1,8.46,24.52,7.182418301
NLA12_CA-112,7424,39.37366934,-121.2786137,21.60541441,6.3,3.383860377,425.25,18,18020125,,6,6,6b,6b,Region_9,124,1.84,0.167,8.03,7.5,20.2,25.75,7.182418301
NLA12_CA-116,6559,41.22806098,-122.3816476,19.58614266,34.5,1.855488603,1658,18,18020005,,78,78,78n,78n,Region_9,40,1.59,0.0626,7.7,62.6,3.92,6.705555556,6.899869281
NLA12_CA-119,7740,37.95383641,-120.4968436,4470.73541,33,205.1316367,332.34,18,18040010,,6,6,6b,6b,Region_9,58,1.92,0.114,6.67,4.1,10.2,17.95925926,7.349934641
NLA12_CA-121,6659,36.08284307,-118.9092314,1005.9283,14.3,42.22641737,199.55,18,18030006,,6,6,6c,6c,Region_9,200,4.2,0.334,8.07,12.3,21.4,20.13666667,7.14745098
NLA12_CA-123,7989,38.76397086,-119.9656214,10.42702163,5.7,1.381916533,2445.3,16,16050201,,5,5,5b,5b,Region_9,27,2.84,0.145,6.4,9.7,4.25,19.48333333,7.272679739
NLA12_CA-128,7563,39.72615676,-122.8416693,1.033384661,3.5,0.418172977,1811.55,18,18010104,,78,78,78r,78r,Region_9,156,4.32,0.34,6.95,29.5,1.54,18.51666667,7.210392157
NLA12_CA-132,6596,40.50757762,-122.6943291,36.17217915,9.6,4.202623881,613.92,18,18020113,,78,78,78k,78k,Region_9,67,1.48,0.137,6.81,11.6,22.2,18.275,7.06751634
NLA12_CA-135,7988,38.69849847,-120.0450767,245.7747884,16,9.830316262,2378.19,18,18020129,,5,5,5b,5b,Region_9,23,1.53,0.078,6.68,5.6,5,17.840625,7.161176471
NLA12_CA-138,8424,40.51311798,-121.1651745,8.907100118,1.3,1.336509,1976.21,18,18080003,,4,4,4e,4e,Region_9,24,4.99,0.333,7.6,10.5,6.44,17.175,7.045228758
NLA12_CA-141,8148,39.09599481,-122.9319835,1.613422335,3.7,0.551743677,455.8,18,18020116,,6,6,6i,6i,Region_9,205,8.08,0.778,7.6,33.7,3.65,21.32142857,7.210392157
NLA12_CA-143,6160,37.56448938,-121.9971818,2.481529197,8.3,0.832914483,13.06,18,18050004,,6,6,6t,6t,Region_9,660,4.41,0.339,8.59,26.8,6.19,18.7375,7.30751634
NLA12_CA-145,7529,37.24681552,-121.8722039,4.667632946,3.5,0.843198756,55.78,18,18050003,,6,6,6t,6t,Region_9,528,5.59,0.428,8.66,33.6,13.6,23.55,7.30751634
NLA12_CA-154,7229,40.63158462,-120.00287,37.07423963,3,3.634373951,1329.45,16,16040203,,80,80,80g,80g,Region_9,226,2.45,0.282,8.34,166,39.9,20.77,7.139738562
NLA12_CA-156,8265,34.49328953,-117.2618539,76.83942876,2.7,10.93337987,846.17,18,18090208,,14,14,14j,14j,Region_9,354,2.76,0.443,8.58,53,11.9,24.79,7.304640523
NLA12_CA-157,6642,37.3732653,-120.4335059,168.429028,7.2,6.552443235,76.93,18,18040001,,7,7,7d,7d,Region_9,45,2,0.0698,6.62,4.1,7.74,17.97857143,7.349934641
NLA12_CA-166,7423,39.76106147,-120.7127085,12.60971255,6.7,1.465793782,1884.91,18,18020123,,5,5,5c,5c,Region_9,14,1.93,0.162,6.55,4.1,3.08,20.99285714,7.126928105
NLA12_CA-167,7263,39.30959639,-120.578516,10.09473893,8.3,1.381695947,1797.3,18,18020128,,5,5,5c,5c,Region_9,31,3.38,0.112,7.14,4.1,7.67,17.375,7.126928105
NLA12_CA-168,6235,33.8011914,-117.8101552,70.10301509,24.1,6.407347731,98.57,18,18070203,NLA06608-1653,85,85,85d,85d,Region_9,870,7.67,2.38,9.66,434,12.6,19.5875,7.170196078
NLA12_CA-172,6279,33.15989079,-117.0432688,25.61192863,12.8,3.075259305,314.7,18,18070303,,85,85,85g,85g,Region_9,680,28.1,0.265,8.44,14.8,6.86,20.58076923,7.170196078
NLA12_CA-174,6558,37.91390879,-121.6012966,15.33535344,6,2.569955959,0,18,18040003,,7,7,7j,7j,Region_9,390,4.13,0.731,8,77.7,12.4,21.06666667,7.30751634
NLA12_CA-179,6623,38.07792375,-122.5036091,5.153006095,NA,0.962837685,0.03,18,18050002,,6,6,6p,6p,Region_9,NA,NA,NA,NA,NA,NA,NA,7.083202614
NLA12_CA-180,7064,38.72817607,-121.131213,4477.606177,29.1,129.7812536,142.8,18,18020129,,6,6,6b,6b,Region_9,60,1.69,0.127,7.9,4.1,9.85,18.48,7.259542484
NLA12_CA-181,8333,37.17995179,-121.6910013,14.37020861,5.8,1.511747383,95.36,18,18050003,,6,6,6v,6v,Region_9,455,4.57,0.319,7.38,39.7,7.75,20.84166667,7.30751634
NLA12_CA-188,7712,37.77693239,-122.1186618,309.7251775,29,34.81754668,141.06,18,18050004,,6,6,6r,6r,Region_9,311,6.67,0.593,9.3,25.6,10,15.82,6.455620915
NLA12_CA-190,7208,38.06047879,-121.0282226,48.14144143,2,4.823763495,42.15,18,18040004,,6,7,6d,7a,Region_9,132,12.7,1.32,7.25,123,7.05,24.9,7.259542484
NLA12_CA-200,7366,39.36848919,-120.322472,13.90867569,10.2,1.505085911,2314.27,16,16050102,,5,5,5c,5c,Region_9,16,1.04,0.152,6.02,4.1,3.05,14.775,7.126928105
NLA12_CA-206,8076,40.76439588,-122.2541896,11052.35363,45,546.2851138,325.4,18,18020003,NLA06608-2950,78,78,78k,78k,Region_9,130,0.75,0.0711,8.25,5.6,22.5,18.68787879,7.06751634
NLA12_CA-208,8149,41.99178315,-121.8782454,180.0083266,1.5,6.568672504,1246.23,18,18010204,,9,9,9g,9g,Region_9,2600,36.1,2.61,9.36,29.9,12.6,22.3,6.99875817
NLA12_CA-212,8398,39.96955481,-121.2222947,16.2944611,14.8,2.481676645,1865.21,18,18020121,,5,5,5c,5c,Region_9,18,4.09,0.175,6.23,8.3,5.1,11.12142857,7.182418301
NLA12_CA-223,8779,37.60310878,-119.0030315,34.97828404,25.8,2.847763464,2732.75,18,18090102,,5,5,5i,5i,Region_9,57,1.77,0.0668,7.9,4.1,3.24,10.88043478,7.24620915
NLA12_CA-R01,7338,37.94905065,-122.6274594,99.66084063,NA,13.75653829,198.57,18,18050005,NLA06608-0501,1,1,1k,1k,Region_9,158.6,2.95,0.174,8.16,31,14.013,13.86153846,6.455620915
NLA12_CA-R02,7396,39.40604459,-120.0965946,385.8957227,NA,21.29411408,1709.58,16,16050102,NLA06608-0713,5,5,5f,5f,Region_9,64,1.77,0.14,8.02,40,20.375,17.11205128,7.126928105
NLA12_CA-R03,7379,37.66379232,-120.2158143,2267.070511,NA,135.7417686,255.73,18,18040008,NLA06608-1717,6,6,6b,6b,Region_9,35.8,1.56,0.121,7.55,16,5.609,18.80897436,7.349934641
NLA12_CA-R05,7289,40.45893329,-121.2909231,2.894677356,NA,0.67908376,2199.11,18,18020121,,4,4,4e,4e,Region_9,4.64,1.42,0.068,6.93,6,1.578,19.80858974,7.045228758
NLA12_CA-R06,7230,40.39703508,-121.3623357,2.919234551,NA,0.685937652,1772.81,18,18020121,,4,4,4e,4e,Region_9,22,3.39,0.294,7.32,33,19.628,22.15897436,7.045228758
NLA12_CA-R09,1000057,38.04703186,-119.2594305,3.827814934,NA,0.724629452,2969.81,16,16050301,,5,5,5k,5k,Region_9,83.2,1.4,0.15,8.93,14,4.339,19.18205128,7.272679739
NLA12_CA-R10,7254,40.40351019,-121.3588354,18.22610848,NA,1.798700681,1653.01,18,18020121,,4,4,4f,4f,Region_9,59,3.68,0.289,7.33,59,31.889,12.31410256,7.045228758
NLA12_CA-R12,7200,40.38862429,-121.299224,8.146257736,NA,1.101449092,1639.81,18,18020121,,4,4,4f,4f,Region_9,11.67,2.46,0.281,7.17,10,2.403,23.69282051,7.045228758
NLA12_CA-R13,7172,38.04692295,-119.2654654,10.12820815,NA,1.23619893,2993.11,16,16050301,,5,5,5k,5k,Region_9,83.1,0.91,0.074,8.19,11,5.623,NA,7.272679739
NLA12_CO-101,7173,38.30009665,-102.7612671,303.645989,2.2,8.631690336,1181.28,11,11020009,NLA06608-0864,26,26,26e,26e,Region_8,10590,31.2,3.058,8.56,76,6.277,24.91923077,6.904509804
NLA12_CO-101,8129,38.30009665,-102.7612671,303.645989,1.8,8.631690336,1181.28,11,11020009,NLA06608-0864,26,26,26e,26e,Region_8,11720,34.42,3.531,8.36,124,11.929,20.17948718,6.904509804
NLA12_CO-102,6795,38.99724122,-108.0511795,14.98464518,14,1.620431695,3070.94,14,14020005,NLA06608-0687,21,21,21g,21g,Region_8,81.8,1.62,0.135,8.45,29,18.212,15.83902439,6.460130719
NLA12_CO-103,8505,40.43632395,-105.0336532,611.5611803,5,17.08625846,1510.61,10,10190006,NLA06608-1403,25,25,25l,25l,Region_8,651,5.07,0.331,8.34,17,2.977,20.6975,6.030522876
NLA12_CO-104,8596,40.22358076,-104.9472807,72.49623774,6.7,5.616831826,1487.14,10,10190005,NLA06608-1339,25,25,25d,25d,Region_8,3340,15.09,6.2,8.53,435,9.303,18.93536585,6.525294118
NLA12_CO-105,8325,37.4167824,-108.4056506,65.38610038,4.4,6.011170144,2213,14,14080202,NLA06608-0004,21,21,21f,21f,Region_8,246,9.66,1.079,9.42,114,7.243,20.4275,6.763137255
NLA12_CO-106,7325,40.33707955,-105.1266943,189.8164828,7.2,7.98199166,1562.41,10,10190006,NLA06608-0635,25,25,25l,25l,Region_8,159.2,3.34,0.235,8.15,15,2.609,24.19875,6.030522876
NLA12_CO-107,8297,37.8246388,-107.885134,50.09886464,16.4,3.228831558,2959.6,14,14030003,NLA06608-0068,21,21,21e,21e,Region_8,215,0.73,0.104,8.11,16,6.434,13.13875,-0.438300654
NLA12_CO-108,6976,38.7911491,-105.1063606,10.22284808,4.9,1.557596057,3147,11,11020002,NLA06608-0916,21,21,21b,21b,Region_8,35.1,1.41,0.071,7.49,25,11.412,15.59625,6.233137255
NLA12_CO-109,8184,40.05558648,-105.7470802,51.02796638,12.5,3.609063575,3029.04,14,14010001,NLA06608-1483,21,21,21b,21b,Region_8,30.4,4.57,0.215,7.55,16,5.14,14.85875,6.030522876
NLA12_CO-110,6342,39.99496234,-105.112227,18.24577471,4,1.618216994,1620.93,10,10190005,NLA06608-0827,25,25,25l,25l,Region_8,628,6.1,0.824,8.55,43,0.468,18.30769231,5.882679739
NLA12_CO-111,8477,40.0798358,-105.2171741,217.4881284,6,6.681900771,1576.75,10,10190005,NLA06608-1851,25,25,25l,25l,Region_8,90.5,2.89,0.14,7.81,26,5.19,20.37625,6.030522876
NLA12_CO-114,6874,39.03670301,-107.9111308,5.726832826,5.1,1.028831741,3105.21,14,14020005,,21,21,21g,21g,Region_8,53,5.09,0.345,7.84,37,6.2,18.30121951,6.32496732
NLA12_CO-115,7102,40.00305447,-107.3583306,3.511584722,3.3,1.003755396,2994.12,14,14050005,,21,21,21e,21e,Region_8,22.2,2.67,0.244,7.43,14,0.851,17.9775,6.467124183
NLA12_CO-117,7686,37.31623199,-107.1129943,35.17102053,5,3.425642783,2348.41,14,14080102,,21,21,21f,21f,Region_8,201,4.77,0.538,9.21,33,4.239,22.0525,-0.438300654
NLA12_CO-119,7322,40.25822853,-105.604528,6.135920724,30,0.98519388,3594.97,10,10190005,,21,21,21a,21a,Region_8,12.07,0.48,0.398,6.71,5,1.465,7.587804878,6.030522876
NLA12_CO-121,7684,37.67328141,-107.1127777,2.056298199,3.1,0.714034605,3530.52,13,13010001,,21,21,21a,21a,Region_8,41.5,2.13,0.255,7.85,84,17.528,16.86875,-0.438300654
NLA12_CO-124,6753,39.93104164,-104.9732957,9.204629265,4.8,1.125955062,1600.49,10,10190003,,25,25,25d,25d,Region_8,1339,15.37,1.48,9.59,110,15.656,22.65348837,6.579411765
NLA12_CO-125,7476,39.22067903,-106.3916958,1.638010034,6.5,0.49435329,2959.99,11,11020001,,21,21,21e,21e,Region_8,45.9,1.29,0.061,7.88,11,5.332,14.435,-0.413986928
NLA12_CO-127,8414,40.12169493,-104.9459108,24.71587035,5.3,1.961036202,1509.83,10,10190005,,25,25,25d,25d,Region_8,424,8.09,0.936,9.53,712,19.95,21.78,6.525294118
NLA12_CO-129,7395,37.28488371,-104.3381595,2.905501949,2.1,1.05535296,1720.86,11,11020010,,26,26,26e,26e,Region_8,3580,5.87,0.744,7.43,45,24.594,23.55769231,6.665490196
NLA12_CO-130,7957,39.64574357,-106.1674308,3.837669916,5.8,0.948242326,3435.34,14,14010002,,21,21,21a,21a,Region_8,41.7,0.78,0.185,7.76,9,2.436,11.65125,-0.413986928
NLA12_CO-131,6875,40.94491896,-106.0119684,17.39618854,7.6,1.656716521,2410.41,10,10180010,,18,18,18f,18f,Region_8,313,5.15,0.314,8.23,48,7.798,17.80625,6.154509804
NLA12_CO-131,8025,40.94491896,-106.0119684,17.39618854,7.6,1.656716521,2410.41,10,10180010,,18,18,18f,18f,Region_8,338,5.6,0.52,8.55,47,12.881,16.91625,6.154509804
NLA12_CO-133,7827,37.54114004,-107.5965489,15.67964295,2.4,2.123484174,3329.18,14,14080104,,21,21,21b,21b,Region_8,30.6,1.7,0.09,7.3,14,1.528,13.925,-0.438300654
NLA12_CO-R01,8258,39.9856728,-107.231024,130.9079857,NA,6.588211364,2934,14,14050005,NLA06608-0079,21,21,21e,21e,Region_8,90.4,1.84,0.116,8.32,36,14.576,8.770512821,6.32496732
NLA12_CO-R04,7768,40.2166095,-105.3725581,79.39618467,NA,7.76769975,1951.04,10,10190005,NLA06608-0715,21,21,21c,21c,Region_8,25.5,2.09,0.118,7.52,20,5.581,19.05769231,6.030522876
NLA12_CO-R07,8334,40.14319362,-107.117692,2.544565294,NA,0.593021391,3107.87,14,14050001,NLA06608-3599,21,21,21e,21e,Region_8,93.4,1.58,0.265,8.78,120,19.109,12.72820513,6.467124183
NLA12_CO-R10,8282,40.17407647,-107.7039121,1.889683719,NA,0.554843926,2297.97,14,14050002,,21,21,21f,21f,Region_8,252,8.27,0.666,8.53,28,5.095,17.4474359,6.467124183
NLA12_CT-101,6689,41.92395129,-72.21958455,19.46022047,1.9,2.78873884,205.1,1,1100002,NLA06608-1414,59,59,59b,59b,Region_1,105.9,4.82,0.216,7.63,19,6.73,22.34102564,-7.59745098
NLA12_CT-101,8298,41.92395129,-72.21958455,19.46022047,2.5,2.78873884,205.1,1,1100002,NLA06608-1414,59,59,59b,59b,Region_1,126.1,4.93,0.484,7.48,37,9.642,24.3,-7.59745098
NLA12_CT-102,6854,41.8811168,-73.03985488,99.98450318,19.3,5.007664543,285.96,1,1080207,NLA06608-0134,58,58,58e,58e,Region_1,57.2,2.11,0.176,7.23,7,0.254,14.47307692,-7.697973856
NLA12_CT-103,7800,41.67757315,-73.14469782,56.19967245,23.6,5.83700507,198.75,1,1100005,NLA06608-0006,59,59,59c,59c,Region_1,110.8,2.53,0.205,7.6,19,5.061,14.12948718,-7.697973856
NLA12_CT-104,7091,41.95084399,-71.9511164,36.73243131,5.7,2.872676209,86.77,1,1100001,NLA06608-0498,59,59,59c,59c,Region_1,121.4,4.33,0.825,7.94,48,10.556,19.90769231,-7.434640523
NLA12_CT-105,8500,41.89704559,-73.44712926,10.59169184,6.3,1.700230293,258.17,1,1100005,NLA06608-0805,58,58,58b,58b,Region_1,253,3.85,0.763,8.27,69,10.674,22,-7.697973856
NLA12_CT-107,7450,41.3389906,-72.48613163,32.98197277,4.5,3.619282802,52.68,1,1080205,,59,59,59g,59g,Region_1,61.9,4.36,0.244,7.33,18,3.712,25.47435897,-7.59745098
NLA12_CT-108,7953,41.65348504,-73.20748141,38.90985797,2.5,5.195863809,271.75,1,1100005,,59,59,59c,59c,Region_1,114.2,3.5,0.311,7.57,28,4.058,26.1474359,-7.697973856
NLA12_CT-115,6813,41.71185606,-72.32903222,111.7119893,6.7,6.22343281,151.74,1,1100002,,59,59,59c,59c,Region_1,71.6,2.73,0.238,7.42,10,0.39,20.69358974,-7.59745098
NLA12_CT-115,8412,41.71185606,-72.32903222,111.7119893,6.7,6.22343281,151.74,1,1100002,,59,59,59c,59c,Region_1,76.2,2.6,0.285,7.39,14,1.772,24.57051282,-7.59745098
NLA12_CT-118,7224,41.77454096,-71.88798099,25.5197079,9.2,2.802215969,59.75,1,1100001,,59,59,59c,59c,Region_1,137.5,2.6,0.255,7.72,5,0.621,21.33717949,-7.434640523
NLA12_CT-126,7582,41.84051817,-72.10979305,33.91858309,3.9,3.128288958,156.76,1,1100002,,59,59,59c,59c,Region_1,49.4,3.06,0.278,7.96,15,0.972,25.55128205,-7.59745098
NLA12_DE-101,7729,39.42401394,-75.68735124,65.4747537,1.7,9.836266815,0,2,2040205,NLA06608-0141,63,63,63f,63f,Region_3,205,4,1.296,8.61,129,9.844,29.33205128,-7.392287582
